"min_lengths","max_lengths","Model","R2_mult","R2_adj"
5,8,"Simple",0.111168832812392,0.068843539136792
6,8,"Simple",0.0564515080627911,0.0115206274943526
7,8,"Simple",0.0162533248225457,-0.0305917549478094
5,9,"Simple",0.111168832812392,0.068843539136792
6,9,"Simple",0.0564515080627911,0.0115206274943526
7,9,"Simple",0.0217691569673295,-0.0248132641294643
8,9,"Simple",0.00704900955410269,-0.0402343709433211
5,10,"Simple",0.111168832812392,0.068843539136792
6,10,"Simple",0.0564515080627911,0.0115206274943526
7,10,"Simple",0.0217691569673295,-0.0248132641294643
8,10,"Simple",0.0300151028712585,-0.0161746541348722
9,10,"Simple",0.0412672530719004,-0.00438668725800917
5,11,"Simple",0.111168832812392,0.068843539136792
6,11,"Simple",0.0564515080627911,0.0115206274943526
7,11,"Simple",0.0217691569673295,-0.0248132641294643
8,11,"Simple",0.03061380759169,-0.0155474396658486
9,11,"Simple",0.0649891154195697,0.0204647875824062
10,11,"Full",0.304936265178132,0.195189359679942
5,12,"Simple",0.111168832812392,0.068843539136792
6,12,"Simple",0.0564515080627911,0.0115206274943526
7,12,"Simple",0.0217691569673295,-0.0248132641294643
8,12,"Simple",0.03061380759169,-0.0155474396658486
9,12,"Simple",0.0649891154195697,0.0204647875824062
10,12,"Full",0.304936265178132,0.195189359679942
11,12,"Full",0.353385577062615,0.251288562914607
5,13,"Simple",0.111168832812392,0.068843539136792
6,13,"Simple",0.0564515080627911,0.0115206274943526
7,13,"Simple",0.0217691569673295,-0.0248132641294643
8,13,"Simple",0.03061380759169,-0.0155474396658486
9,13,"Simple",0.0649891154195697,0.0204647875824062
10,13,"Full",0.304936265178132,0.195189359679942
11,13,"Full",0.353385577062615,0.251288562914607
12,13,"Full",0.32415479594903,0.217442395309403
5,14,"Simple",0.111168832812392,0.068843539136792
6,14,"Simple",0.0564515080627911,0.0115206274943526
7,14,"Simple",0.0217691569673295,-0.0248132641294643
8,14,"Simple",0.03061380759169,-0.0155474396658486
9,14,"Simple",0.0649891154195697,0.0204647875824062
10,14,"Full",0.304936265178132,0.195189359679942
11,14,"Full",0.353385577062615,0.251288562914607
12,14,"Full",0.32415479594903,0.217442395309403
13,14,"Full",0.279825591945688,0.166113843305533
5,15,"Simple",0.111168832812392,0.068843539136792
6,15,"Simple",0.0564515080627911,0.0115206274943526
7,15,"Simple",0.0217691569673295,-0.0248132641294643
8,15,"Simple",0.03061380759169,-0.0155474396658486
9,15,"Simple",0.0649891154195697,0.0204647875824062
10,15,"Full",0.304936265178132,0.195189359679942
11,15,"Full",0.353385577062615,0.251288562914607
12,15,"Full",0.32415479594903,0.217442395309403
13,15,"Full",0.279825591945688,0.166113843305533
14,15,"Full",0.292647113709723,0.180959815874416
5,16,"Simple",0.111168832812392,0.068843539136792
6,16,"Simple",0.0564515080627911,0.0115206274943526
7,16,"Simple",0.0217691569673295,-0.0248132641294643
8,16,"Simple",0.03061380759169,-0.0155474396658486
9,16,"Simple",0.0649891154195697,0.0204647875824062
10,16,"Full",0.304936265178132,0.195189359679942
11,16,"Full",0.353385577062615,0.251288562914607
12,16,"Full",0.32415479594903,0.217442395309403
13,16,"Full",0.279825591945688,0.166113843305533
14,16,"Full",0.292647113709723,0.180959815874416
5,17,"Simple",0.111168832812392,0.068843539136792
6,17,"Simple",0.0564515080627911,0.0115206274943526
7,17,"Simple",0.0217691569673295,-0.0248132641294643
8,17,"Simple",0.03061380759169,-0.0155474396658486
9,17,"Simple",0.0649891154195697,0.0204647875824062
10,17,"Full",0.304936265178132,0.195189359679942
11,17,"Full",0.353385577062615,0.251288562914607
12,17,"Full",0.32415479594903,0.217442395309403
13,17,"Full",0.279825591945688,0.166113843305533
14,17,"Full",0.292647113709723,0.180959815874416
5,18,"Simple",0.111168832812392,0.068843539136792
6,18,"Simple",0.0564515080627911,0.0115206274943526
7,18,"Simple",0.0217691569673295,-0.0248132641294643
8,18,"Simple",0.03061380759169,-0.0155474396658486
9,18,"Simple",0.0649891154195697,0.0204647875824062
10,18,"Full",0.304936265178132,0.195189359679942
11,18,"Full",0.353385577062615,0.251288562914607
12,18,"Full",0.32415479594903,0.217442395309403
13,18,"Full",0.279825591945688,0.166113843305533
14,18,"Full",0.292647113709723,0.180959815874416
5,19,"Simple",0.111168832812392,0.068843539136792
6,19,"Simple",0.0564515080627911,0.0115206274943526
7,19,"Simple",0.0217691569673295,-0.0248132641294643
8,19,"Simple",0.03061380759169,-0.0155474396658486
9,19,"Simple",0.0649891154195697,0.0204647875824062
10,19,"Full",0.304936265178132,0.195189359679942
11,19,"Full",0.353385577062615,0.251288562914607
12,19,"Full",0.32415479594903,0.217442395309403
13,19,"Full",0.279825591945688,0.166113843305533
14,19,"Full",0.292647113709723,0.180959815874416
